Host Listings Count;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 365;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Calculated host listings count;Host Since in Days;Entire home/apt;Private room
1.0;1.0;2.0;1.0;1.0;1.0;42.0;199.0;687.0;210.0;8.0;1.0;0.0;28.0;100.0;10.0;10.0;9.0;1.0;1291.0;0.0;0.0
4.0;4.0;4.0;1.0;2.0;2.0;70.0;485.59999999999997;1595.9999999999998;134.0;24.0;2.0;10.0;97.0;70.0;9.0;7.0;10.0;4.0;1793.0;1.0;0.0
1.0;1.0;4.0;1.0;1.0;2.0;60.0;365.99999999999994;1339.0;139.99999999999997;30.0;2.0;15.0;32.0;98.0;10.0;10.0;10.0;1.0;338.0;1.0;0.0
1.0;1.0;1.0;1.0;1.0;1.0;20.0;131.0;375.0;96.0;11.0;1.0;0.0;365.0;100.0;10.0;10.0;9.0;1.0;348.0;0.0;1.0
2.0;2.0;1.0;0.5;1.0;1.0;15.0;125.0;390.00000000000006;139.2;20.0;1.0;0.0;320.0;92.10447761194028;9.2;9.2;9.4;1.0;1039.0;0.0;0.0
1.0;1.0;1.0;1.0;1.0;1.0;18.0;232.0;678.4;105.99999999999999;10.0;1.0;0.0;320.0;98.0;10.0;10.0;10.0;1.0;380.0;0.0;1.0
2.0;2.0;2.0;1.0;1.0;2.0;25.0;199.6;736.0;159.8;15.0;1.0;15.0;161.0;100.0;10.0;10.0;10.0;2.0;1089.0;0.0;1.0
14.0;14.0;2.9999999999999996;1.0;1.0;2.0;90.0;317.0;941.4;220.0;23.000000000000004;1.0;0.0;329.0;83.0;9.0;9.0;8.0;5.000000000000001;1360.0;1.0;0.0
1.0;1.0;1.0;1.0;1.0;2.0;30.0;150.0;409.99999999999994;199.99999999999997;13.0;1.0;0.0;249.99999999999997;99.0;10.0;10.0;10.0;1.0;2050.0;0.0;1.0
3.0;3.0;4.0;1.0;1.0;3.0;59.0;424.0;1246.0;95.0;10.0;2.0;5.0;129.0;85.0;9.0;8.0;10.0;2.0;1048.0;1.0;0.0
2.0;2.0;2.0;1.0;1.0;2.0;40.0;199.6;736.0;99.99999999999999;12.0;1.0;15.0;117.0;92.10447761194028;9.2;9.2;9.8;2.0;1069.0;0.0;1.0
34.0;34.0;2.0;1.0;1.0;1.0;19.0;155.6;560.6;119.19999999999997;16.4;1.0;17.0;249.0;80.0;8.0;8.0;9.0;33.0;1724.0;0.0;1.0
2.0;2.0;2.0;1.0;1.0;1.0;22.0;159.6;521.0;159.19999999999996;18.6;2.0;5.0;0.0;100.0;10.0;10.0;10.0;2.0;639.0;0.0;1.0
1.0;1.0;4.0;1.0;0.0;2.0;60.0;360.0;1400.0;300.0;40.0;2.0;20.0;208.0;100.0;10.0;8.0;10.0;1.0;445.99999999999994;1.0;0.0
1.0;1.0;2.0;1.0;1.0;1.0;25.0;166.0;521.0;110.0;11.0;1.0;5.0;53.00000000000001;84.0;9.0;8.0;8.0;1.0;490.99999999999994;0.0;1.0
